Respondent_ID,Age_Range,Gender,Disability_Status,Location_Type,Country,African_Region,Value_Chain,Organization_Name,Organization_Type,Complement_Existing_Platforms_Score,Framework_Inclusivity_Score,Governance_Transparency_Score,Membership_Clarity_Score,Stakeholder_Participation_Score,Trust_Building_Score,Finance_Barrier_Score,Land_Access_Barrier_Score,Climate_Risk_Score,Technology_Barrier_Score,Funding_Support_Need,Land_Ownership_Importance,Early_Warning_Importance,Capacity_Building_Need,Technology_Intervention_Need,KPI_Alignment_Score,Impact_Measurement_Score,Gender_Data_Promotion_Score,Continuous_Learning_Score,Reporting_Level,Resource_Mobilization_Score,Funding_Diversification_Score,Partnership_Strategy_Score,Knowledge_Sharing_Score,Government_Partner,Private_Sector_Partner,International_Org_Partner,Academia_Partner,Farmers_Association_Partner,CSO_Partner,Staffing_Readiness_Score,Communication_Readiness_Score,Women_Involvement_Score,Hybrid_Platform_Readiness_Score,Strategic_Alignment_Score,Lessons_Learned_Text,Innovation_Recommendations_Text,Inclusivity_Recommendations_Text,Vulnerability_Index,Governance_Readiness_Score,Sustainability_Score,MELAR_Readiness_Score,Intervention_Priority,Avg_Barrier_Score,Avg_Readiness_Score,Avg_Need_Score,Readiness_Gap,Rural_Female,Young_Respondent,Disability_Flag,Total_Partners,Priority_Ordinal,Gov_High,Sus_High,Exclusion_Risk_Score,Risk_Level,Cluster,WAEI_Participation,WAEI_Governance,WAEI_Resilience,WAEI_Sustainability,WAEI_Inclusion,WAEI_Score,Recommendations,Urgency,Num_Interventions
RESP_00389,18-35,Male,No,Semi-Urban,Zimbabwe,Southern Africa,Agri-Tech,Oasis Farm Group,NGO,4,5,4,4,4,4,3,4,4,3,5,3,4,5,3,3,3,4,4,Continental,4,4,5,4,0,1,1,1,1,0,3,5,5,4,4,Climate adaptation training should be expanded,Introduce AI-supported climate monitoring systems,Promote women leadership representation,3.5,4.25,4.25,3.5,Moderate,3.5,4.2,4.0,-0.7,0,1,0,4,1,1,1,2.3,Low,1,100.0,72.72727272727273,42.85714285714286,70.0,100.0,77.25,Climate-smart agriculture & early warning systems | Land rights advocacy & documentation support | Capacity building programme enrolment,Routine,3
RESP_00390,61+,Female,No,Urban,Cameroon,Central Africa,Production,AgriLink Cooperative,Community Network,4,4,2,4,3,4,5,4,3,3,3,5,4,3,4,4,4,4,4,Regional,4,2,4,4,1,0,0,1,1,1,4,4,4,3,4,Need stronger digital extension systems for women farmers,Scale youth agritech incubation hubs,Increase disability-inclusive participation frameworks,3.75,3.25,3.5,4.0,High,3.75,3.8,3.8,-0.05,0,0,0,4,2,0,0,2.55,Moderate,1,66.66666666666666,36.36363636363637,35.71428571428571,40.0,66.66666666666666,48.9,Agricultural credit & microfinance access | Land rights advocacy & documentation support,High,2
RESP_00391,18-35,Male,No,Semi-Urban,Gabon,Central Africa,Others,Sunrise Food Systems,NGO,3,4,3,3,3,4,5,2,5,3,4,5,3,4,4,3,4,4,2,Regional,4,3,3,5,1,0,1,1,1,1,3,5,5,3,5,Need stronger digital extension systems for women farmers,Deploy mobile agricultural advisory platforms,Expand awareness campaigns in rural communities,3.75,3.25,3.75,3.25,High,3.75,4.2,4.0,-0.45,0,1,0,5,2,0,1,2.45,Low,1,100.0,36.36363636363637,35.71428571428571,50.0,66.66666666666666,60.4,Agricultural credit & microfinance access | Climate-smart agriculture & early warning systems | Capacity building programme enrolment,High,3
RESP_00392,18-35,Female,No,Rural,DR Congo,Central Africa,Production,Continental Agri Ltd,Farmers Association,4,4,3,4,2,4,4,5,4,5,5,4,2,4,4,4,4,4,4,Regional,3,4,4,4,0,1,1,1,1,0,4,5,5,3,4,Technology adoption is improving productivity outcomes,Introduce AI-supported climate monitoring systems,Improve equitable funding access mechanisms,4.5,3.25,3.75,4.0,Critical,4.5,4.2,3.8,0.3,1,1,0,4,3,0,1,3.2,High,0,100.0,36.36363636363637,14.285714285714292,50.0,66.66666666666666,56.11,Agricultural credit & microfinance access | Digital literacy & agri-tech platform access | Climate-smart agriculture & early warning systems | Land rights advocacy & documentation support | Rural women extension services & cooperative support | Emergency AfriAgri welfare inclusion support | Capacity building programme enrolment,Critical,7
RESP_00393,18-35,Female,No,Rural,Zambia,Southern Africa,Others,Horizon Food Systems,Government Agency,4,4,3,4,5,4,4,4,5,5,5,4,4,5,4,5,4,4,3,Regional,4,4,5,5,0,0,0,0,1,0,4,3,5,5,5,Technology adoption is improving productivity outcomes,Introduce AI-supported climate monitoring systems,Increase disability-inclusive participation frameworks,4.5,4.0,4.5,4.0,Critical,4.5,4.4,4.4,0.1,1,1,0,1,3,1,1,3.15,High,0,100.0,63.63636363636363,14.285714285714292,80.0,66.66666666666666,67.43,Agricultural credit & microfinance access | Digital literacy & agri-tech platform access | Climate-smart agriculture & early warning systems | Land rights advocacy & documentation support | Rural women extension services & cooperative support | Emergency AfriAgri welfare inclusion support | Capacity building programme enrolment,Critical,7
RESP_00394,61+,Female,No,Semi-Urban,Gabon,Central Africa,Agri-Tech,Horizon Food Systems,NGO,4,4,3,4,4,3,5,3,3,3,5,4,4,4,3,5,4,3,5,Continental,4,4,5,4,1,1,1,0,0,0,3,4,4,3,4,Funding access remains difficult for rural women cooperatives,Scale youth agritech incubation hubs,Strengthen gender-responsive technology access,3.5,3.75,4.25,4.25,Moderate,3.5,3.6,4.0,-0.1,0,0,0,3,1,0,1,2.45,Low,1,66.66666666666666,54.54545454545454,42.85714285714286,70.0,66.66666666666666,59.37,Agricultural credit & microfinance access | Capacity building programme enrolment,High,2
RESP_00395,36-45,Male,No,Rural,Gabon,Central Africa,Marketing,SeedFuture Institute,Private Agribusiness,4,4,3,3,4,3,3,5,4,4,4,5,4,5,5,4,4,5,5,Regional,3,4,4,5,1,0,1,0,0,1,3,3,4,3,5,Technology adoption is improving productivity outcomes,Introduce AI-supported climate monitoring systems,Improve equitable funding access mechanisms,4.0,3.5,4.0,4.5,High,4.0,3.6,4.6,0.4,0,0,0,3,2,0,1,2.75,Moderate,0,66.66666666666666,45.45454545454545,28.57142857142857,60.0,66.66666666666666,52.74,Digital literacy & agri-tech platform access | Climate-smart agriculture & early warning systems | Land rights advocacy & documentation support | Emergency AfriAgri welfare inclusion support | Capacity building programme enrolment,Critical,5
RESP_00396,36-45,Female,Yes,Rural,DR Congo,Central Africa,Processing,ProAgri Associates,Community Network,4,4,4,4,5,4,4,4,3,5,4,3,3,4,4,4,4,3,3,National,5,4,5,4,1,0,1,1,1,0,3,5,4,4,4,Need stronger digital extension systems for women farmers,Support aggregation and funding of agricultural research,Increase disability-inclusive participation frameworks,4.0,4.25,4.5,3.5,High,4.0,4.0,3.6,0.0,1,0,1,4,2,1,1,3.45,High,0,66.66666666666666,72.72727272727273,28.57142857142857,80.0,66.66666666666666,62.56,Agricultural credit & microfinance access | Digital literacy & agri-tech platform access | Land rights advocacy & documentation support | Rural women extension services & cooperative support | Emergency AfriAgri welfare inclusion support | Disability-inclusive programme design & access accommodations | Capacity building programme enrolment,Critical,7
RESP_00397,18-35,Female,No,Urban,Senegal,West Africa,Agri-Finance,Grassroots AgriCo,Community Network,4,4,3,4,3,4,2,4,3,3,5,4,4,4,3,4,4,3,4,Continental,3,3,3,4,0,1,1,1,1,1,4,4,4,4,4,Funding access remains difficult for rural women cooperatives,Support aggregation and funding of agricultural research,Increase disability-inclusive participation frameworks,3.0,3.5,3.25,3.75,Moderate,3.0,4.0,4.0,-1.0,0,1,0,5,1,0,0,2.05,Low,1,66.66666666666666,45.45454545454545,57.142857142857146,30.0,66.66666666666666,53.96,Land rights advocacy & documentation support | Capacity building programme enrolment,Routine,2
RESP_00398,61+,Female,No,Rural,Morocco,Northern Africa,Processing,Savanna Tech Group,NGO,4,5,4,4,5,5,4,4,5,5,4,3,4,5,3,4,4,5,4,National,3,3,3,4,1,0,1,0,1,0,4,3,5,3,5,Funding access remains difficult for rural women cooperatives,Create women-focused digital financing systems,Strengthen gender-responsive technology access,4.5,4.5,3.25,4.25,Critical,4.5,4.0,3.8,0.5,1,0,0,3,3,1,0,3.25,High,0,100.0,81.81818181818183,14.285714285714292,30.0,100.0,67.81,Agricultural credit & microfinance access | Digital literacy & agri-tech platform access | Climate-smart agriculture & early warning systems | Land rights advocacy & documentation support | Rural women extension services & cooperative support | Emergency AfriAgri welfare inclusion support | Capacity building programme enrolment,Critical,7
RESP_00399,36-45,Male,No,Rural,Zimbabwe,Southern Africa,Marketing,Continental Agri Ltd,Government Agency,5,4,3,4,3,2,4,5,4,5,4,5,4,4,5,5,5,4,3,National,5,5,4,3,1,0,1,1,0,1,4,4,4,4,4,Need stronger digital extension systems for women farmers,Introduce AI-supported climate monitoring systems,Expand awareness campaigns in rural communities,4.5,3.5,4.25,4.25,Critical,4.5,4.0,4.4,0.5,0,0,0,4,3,0,1,2.95,Moderate,0,66.66666666666666,45.45454545454545,14.285714285714292,70.0,66.66666666666666,51.39,Agricultural credit & microfinance access | Digital literacy & agri-tech platform access | Climate-smart agriculture & early warning systems | Land rights advocacy & documentation support | Emergency AfriAgri welfare inclusion support | Capacity building programme enrolment,Critical,6
RESP_00400,18-35,Female,No,Rural,Ghana,West Africa,Production,Ubuntu Agri Network,Research Institution,5,4,4,4,2,4,4,4,5,5,5,4,4,4,5,4,5,3,4,Continental,4,3,4,4,1,1,1,1,1,0,4,3,5,4,4,Funding access remains difficult for rural women cooperatives,Deploy mobile agricultural advisory platforms,Strengthen gender-responsive technology access,4.5,3.5,3.75,4.0,Critical,4.5,4.0,4.4,0.5,1,1,0,5,3,0,1,3.25,High,0,100.0,45.45454545454545,14.285714285714292,50.0,66.66666666666666,58.39,Agricultural credit & microfinance access | Digital literacy & agri-tech platform access | Climate-smart agriculture & early warning systems | Land rights advocacy & documentation support | Rural women extension services & cooperative support | Emergency AfriAgri welfare inclusion support | Capacity building programme enrolment,Critical,7
RESP_00401,18-35,Female,No,Urban,Ghana,West Africa,Marketing,Oasis Farm Group,Government Agency,4,4,4,3,4,5,5,2,3,3,5,4,4,5,4,5,5,4,4,Regional,3,3,4,4,0,0,1,0,0,1,3,5,2,5,5,Need stronger digital extension systems for women farmers,Scale youth agritech incubation hubs,Increase disability-inclusive participation frameworks,3.25,3.75,3.5,4.5,Moderate,3.25,4.0,4.4,-0.75,0,1,0,2,1,0,0,2.2,Low,1,0.0,54.54545454545454,50.0,40.0,66.66666666666666,36.3,Agricultural credit & microfinance access | Capacity building programme enrolment,High,2
RESP_00402,61+,Female,No,Rural,South Africa,Southern Africa,Processing,Horizon Food Systems,NGO,4,4,4,4,3,4,3,4,5,4,5,4,4,5,4,4,5,4,4,Continental,4,4,4,5,1,1,1,1,0,1,4,3,5,4,4,Need stronger digital extension systems for women farmers,Support aggregation and funding of agricultural research,Promote women leadership representation,4.0,3.75,4.25,4.25,High,4.0,4.0,4.4,0.0,1,0,0,5,2,0,1,2.95,Moderate,0,100.0,54.54545454545454,28.57142857142857,70.0,66.66666666666666,66.52,Digital literacy & agri-tech platform access | Climate-smart agriculture & early warning systems | Land rights advocacy & documentation support | Rural women extension services & cooperative support | Emergency AfriAgri welfare inclusion support | Capacity building programme enrolment,Critical,6
RESP_00403,36-45,Female,No,Rural,Botswana,Southern Africa,Production,BushVeld Research,Private Agribusiness,4,4,4,3,4,5,1,4,4,4,5,5,5,5,5,4,3,5,4,Continental,4,5,4,4,1,0,1,1,0,0,3,5,4,4,4,Local partnerships improve sustainability and trust,Deploy mobile agricultural advisory platforms,Increase disability-inclusive participation frameworks,3.25,3.75,4.25,4.0,Moderate,3.25,4.0,5.0,-0.75,1,0,0,3,1,0,1,2.5,Moderate,1,66.66666666666666,54.54545454545454,50.0,70.0,66.66666666666666,60.8,Digital literacy & agri-tech platform access | Climate-smart agriculture & early warning systems | Land rights advocacy & documentation support | Rural women extension services & cooperative support | Capacity building programme enrolment,High,5
RESP_00404,36-45,Female,No,Rural,Uganda,East Africa,Processing,Horizon Food Systems,NGO,5,5,3,4,5,5,3,4,4,3,3,3,3,4,4,4,4,4,3,National,2,3,4,4,1,1,1,0,1,0,3,4,4,4,3,Technology adoption is improving productivity outcomes,Support aggregation and funding of agricultural research,Expand awareness campaigns in rural communities,3.5,4.25,3.25,3.75,Moderate,3.5,3.6,3.4,-0.1,1,0,0,4,1,1,0,2.75,Moderate,0,66.66666666666666,72.72727272727273,42.85714285714286,30.0,100.0,61.25,Climate-smart agriculture & early warning systems | Land rights advocacy & documentation support | Rural women extension services & cooperative support | Capacity building programme enrolment,Routine,4
RESP_00405,36-45,Female,No,Urban,Gabon,Central Africa,Others,Continental Agri Ltd,Research Institution,4,4,4,3,4,4,4,2,3,2,5,5,4,5,4,4,3,4,4,National,4,4,5,3,0,1,1,0,0,1,3,4,4,5,4,Local partnerships improve sustainability and trust,Introduce AI-supported climate monitoring systems,Expand awareness campaigns in rural communities,2.75,3.75,4.0,3.75,Low,2.75,4.0,4.6,-1.25,0,0,0,3,0,0,1,1.9,Low,1,66.66666666666666,54.54545454545454,64.28571428571428,60.0,66.66666666666666,62.16,Agricultural credit & microfinance access | Capacity building programme enrolment,High,2
RESP_00406,46-60,Female,No,Rural,Cameroon,Central Africa,Processing,SeedFuture Institute,Farmers Association,4,4,3,5,5,4,5,4,4,4,4,5,5,5,5,5,4,5,4,National,4,4,4,3,0,1,1,0,0,0,4,4,5,3,5,Climate adaptation training should be expanded,Deploy mobile agricultural advisory platforms,Improve equitable funding access mechanisms,4.25,4.25,3.75,4.5,High,4.25,4.2,4.8,0.05,1,0,0,2,2,1,1,3.05,High,0,100.0,72.72727272727273,21.42857142857143,50.0,66.66666666666666,66.63,Agricultural credit & microfinance access | Digital literacy & agri-tech platform access | Climate-smart agriculture & early warning systems | Land rights advocacy & documentation support | Rural women extension services & cooperative support | Emergency AfriAgri welfare inclusion support | Capacity building programme enrolment,Critical,7
RESP_00407,36-45,Female,No,Rural,Gabon,Central Africa,Marketing,ProAgri Associates,Government Agency,4,3,3,3,4,5,4,5,4,3,5,4,4,4,3,3,4,4,5,Continental,4,4,4,3,0,0,1,0,0,1,4,4,3,3,4,Need stronger digital extension systems for women farmers,Deploy mobile agricultural advisory platforms,Promote women leadership representation,4.0,3.25,3.75,4.0,High,4.0,3.6,4.0,0.4,1,0,0,2,2,0,1,3.05,High,0,33.33333333333333,36.36363636363637,28.57142857142857,50.0,33.33333333333333,35.64,Agricultural credit & microfinance access | Climate-smart agriculture & early warning systems | Land rights advocacy & documentation support | Rural women extension services & cooperative support | Emergency AfriAgri welfare inclusion support | Capacity building programme enrolment,Critical,6
RESP_00408,36-45,Female,No,Semi-Urban,Zambia,Southern Africa,Marketing,Savanna Tech Group,Women Cooperative,3,4,4,3,4,4,3,3,4,3,4,5,4,5,4,3,4,4,4,Regional,3,3,4,4,0,0,0,1,0,1,4,4,5,4,4,Climate adaptation training should be expanded,Deploy mobile agricultural advisory platforms,Increase disability-inclusive participation frameworks,3.25,3.75,3.5,3.75,Moderate,3.25,4.2,4.4,-0.95,0,0,0,2,1,0,0,2.15,Low,1,100.0,54.54545454545454,50.0,40.0,66.66666666666666,66.3,Climate-smart agriculture & early warning systems | Capacity building programme enrolment,Routine,2
RESP_00409,36-45,Female,No,Rural,Cameroon,Central Africa,Agri-Finance,Horizon Food Systems,Private Agribusiness,4,4,3,4,2,4,4,4,2,4,3,3,4,5,4,4,4,4,4,Sub-national,4,3,4,4,1,1,1,1,0,0,4,5,3,3,3,Funding access remains difficult for rural women cooperatives,Deploy mobile agricultural advisory platforms,Expand awareness campaigns in rural communities,3.5,3.25,3.75,4.0,Moderate,3.5,3.6,3.8,-0.1,1,0,0,4,1,0,1,2.75,Moderate,1,33.33333333333333,36.36363636363637,42.85714285714286,50.0,66.66666666666666,41.83,Agricultural credit & microfinance access | Digital literacy & agri-tech platform access | Land rights advocacy & documentation support | Rural women extension services & cooperative support | Capacity building programme enrolment,High,5
RESP_00410,18-35,Female,No,Semi-Urban,Nigeria,West Africa,Processing,ProAgri Associates,Private Agribusiness,5,4,5,4,4,4,3,2,5,4,4,3,5,4,4,4,4,4,5,Regional,4,3,4,4,1,0,0,1,1,0,5,5,4,3,3,Local partnerships improve sustainability and trust,Create women-focused digital financing systems,Increase disability-inclusive participation frameworks,3.5,4.25,3.75,4.25,Moderate,3.5,4.0,4.0,-0.5,0,1,0,3,1,1,1,2.35,Low,1,66.66666666666666,72.72727272727273,42.85714285714286,50.0,66.66666666666666,60.92,Digital literacy & agri-tech platform access | Climate-smart agriculture & early warning systems | Capacity building programme enrolment,High,3
RESP_00411,36-45,Female,No,Urban,Ghana,West Africa,Production,Savanna Tech Group,Community Network,4,2,3,3,4,5,5,3,3,2,4,4,4,5,5,4,4,4,4,Sub-national,3,4,4,5,0,0,1,1,0,1,5,5,4,5,4,Need stronger digital extension systems for women farmers,Deploy mobile agricultural advisory platforms,Promote women leadership representation,3.25,3.0,4.0,4.0,Moderate,3.25,4.6,4.4,-1.35,0,0,0,3,1,0,1,2.05,Low,1,66.66666666666666,27.27272727272727,50.0,60.0,0.0,45.82,Agricultural credit & microfinance access | Capacity building programme enrolment,High,2
RESP_00412,36-45,Female,No,Semi-Urban,Gabon,Central Africa,Services,ProAgri Associates,Research Institution,3,4,2,5,4,4,5,4,5,4,5,4,5,2,3,3,3,4,4,Sub-national,4,4,3,3,1,0,0,0,1,1,4,3,3,4,5,Climate adaptation training should be expanded,Deploy mobile agricultural advisory platforms,Strengthen gender-responsive technology access,4.5,3.75,3.5,3.5,Critical,4.5,3.8,3.8,0.7,0,0,0,3,3,0,0,3.0,High,0,33.33333333333333,54.54545454545454,14.285714285714292,40.0,66.66666666666666,39.16,Agricultural credit & microfinance access | Digital literacy & agri-tech platform access | Climate-smart agriculture & early warning systems | Land rights advocacy & documentation support | Emergency AfriAgri welfare inclusion support,Critical,5
RESP_00413,36-45,Female,No,Rural,Gabon,Central Africa,Services,SeedFuture Institute,NGO,5,4,2,4,4,5,5,5,5,5,5,3,5,4,5,4,5,5,4,Regional,4,4,3,4,1,0,1,1,1,0,3,4,3,3,5,Climate adaptation training should be expanded,Introduce AI-supported climate monitoring systems,Improve equitable funding access mechanisms,5.0,3.5,3.75,4.5,Critical,5.0,3.6,4.4,1.4,1,0,0,4,3,0,1,3.65,High,0,33.33333333333333,45.45454545454545,0.0,50.0,66.66666666666666,35.53,Agricultural credit & microfinance access | Digital literacy & agri-tech platform access | Climate-smart agriculture & early warning systems | Land rights advocacy & documentation support | Rural women extension services & cooperative support | Emergency AfriAgri welfare inclusion support | Capacity building programme enrolment,Critical,7
RESP_00414,36-45,Female,No,Rural,Zimbabwe,Southern Africa,Others,AgriLink Cooperative,Private Agribusiness,4,5,5,4,4,4,4,4,5,4,4,4,4,5,5,3,4,5,4,National,4,4,5,4,1,0,0,1,0,1,3,4,4,4,3,Funding access remains difficult for rural women cooperatives,Introduce AI-supported climate monitoring systems,Expand awareness campaigns in rural communities,4.25,4.5,4.25,4.0,High,4.25,3.6,4.4,0.65,1,0,0,3,2,1,1,3.2,High,0,66.66666666666666,81.81818181818183,21.42857142857143,70.0,100.0,65.24,Agricultural credit & microfinance access | Digital literacy & agri-tech platform access | Climate-smart agriculture & early warning systems | Land rights advocacy & documentation support | Rural women extension services & cooperative support | Emergency AfriAgri welfare inclusion support | Capacity building programme enrolment,Critical,7
RESP_00415,61+,Female,No,Rural,Ethiopia,East Africa,Processing,GreenVine Partners,Government Agency,5,4,3,4,3,4,5,5,5,5,4,4,4,4,4,4,3,4,4,Continental,5,4,3,4,0,1,1,1,0,0,4,4,5,4,5,Climate adaptation training should be expanded,Deploy mobile agricultural advisory platforms,Increase disability-inclusive participation frameworks,5.0,3.5,4.0,3.75,Critical,5.0,4.4,4.0,0.6,1,0,0,3,3,0,1,3.45,High,0,100.0,45.45454545454545,0.0,60.0,66.66666666666666,57.03,Agricultural credit & microfinance access | Digital literacy & agri-tech platform access | Climate-smart agriculture & early warning systems | Land rights advocacy & documentation support | Rural women extension services & cooperative support | Emergency AfriAgri welfare inclusion support | Capacity building programme enrolment,Critical,7
RESP_00416,36-45,Female,No,Rural,Zimbabwe,Southern Africa,Marketing,BushVeld Research,Community Network,3,4,5,3,5,5,3,5,4,4,5,4,5,5,5,4,4,4,4,National,4,4,4,5,0,1,0,0,0,1,2,4,5,5,4,Local partnerships improve sustainability and trust,Deploy mobile agricultural advisory platforms,Increase disability-inclusive participation frameworks,4.0,4.25,4.25,4.0,High,4.0,4.0,4.8,0.0,1,0,0,2,2,1,1,2.95,Moderate,0,100.0,72.72727272727273,28.57142857142857,70.0,66.66666666666666,71.06,Digital literacy & agri-tech platform access | Climate-smart agriculture & early warning systems | Land rights advocacy & documentation support | Rural women extension services & cooperative support | Emergency AfriAgri welfare inclusion support | Capacity building programme enrolment,Critical,6
RESP_00417,18-35,Female,No,Urban,Egypt,Northern Africa,Others,Nile AgriConsult,Farmers Association,5,3,4,3,5,5,4,4,4,2,5,4,3,4,5,4,4,4,5,National,3,3,3,3,0,1,1,1,0,0,4,3,5,2,3,Technology adoption is improving productivity outcomes,Scale youth agritech incubation hubs,Expand awareness campaigns in rural communities,3.5,3.75,3.0,4.25,Moderate,3.5,3.4,4.2,0.1,0,1,0,3,1,0,0,2.5,Moderate,1,100.0,54.54545454545454,42.85714285714286,20.0,33.33333333333333,58.54,Agricultural credit & microfinance access | Climate-smart agriculture & early warning systems | Land rights advocacy & documentation support | Capacity building programme enrolment,High,4
RESP_00418,46-60,Female,No,Rural,Ghana,West Africa,Others,Afri-Impact NGO,Research Institution,4,5,3,4,5,4,5,4,4,4,5,2,4,5,4,5,5,4,4,National,3,3,3,4,1,0,0,1,1,1,3,4,5,3,5,Technology adoption is improving productivity outcomes,Introduce AI-supported climate monitoring systems,Expand awareness campaigns in rural communities,4.25,4.25,3.25,4.5,High,4.25,4.0,4.0,0.25,1,0,0,4,2,1,0,3.1,High,0,100.0,72.72727272727273,21.42857142857143,30.0,100.0,66.97,Agricultural credit & microfinance access | Digital literacy & agri-tech platform access | Climate-smart agriculture & early warning systems | Land rights advocacy & documentation support | Rural women extension services & cooperative support | Emergency AfriAgri welfare inclusion support | Capacity building programme enrolment,Critical,7
RESP_00419,36-45,Female,No,Urban,Algeria,Northern Africa,Services,FarmFirst Alliance,Community Network,4,5,4,4,5,4,4,4,3,3,5,3,4,4,4,5,4,3,4,National,3,5,4,4,0,1,0,0,0,0,5,4,5,3,5,Technology adoption is improving productivity outcomes,Scale youth agritech incubation hubs,Promote women leadership representation,3.5,4.5,4.0,4.0,Moderate,3.5,4.4,4.0,-0.9,0,0,0,1,1,1,1,2.25,Low,1,100.0,81.81818181818183,42.85714285714286,60.0,100.0,78.03,Agricultural credit & microfinance access | Land rights advocacy & documentation support | Capacity building programme enrolment,High,3
RESP_00420,36-45,Female,No,Rural,Ethiopia,East Africa,Agri-Tech,Nile AgriConsult,NGO,5,3,4,4,4,4,5,4,4,4,4,4,5,5,4,2,4,3,4,National,5,3,4,4,1,1,1,1,1,0,5,4,5,4,4,Technology adoption is improving productivity outcomes,Support aggregation and funding of agricultural research,Improve equitable funding access mechanisms,4.25,3.75,4.0,3.25,High,4.25,4.4,4.4,-0.15,1,0,0,5,2,0,1,3.0,High,0,100.0,54.54545454545454,21.42857142857143,60.0,33.33333333333333,60.26,Agricultural credit & microfinance access | Digital literacy & agri-tech platform access | Climate-smart agriculture & early warning systems | Land rights advocacy & documentation support | Rural women extension services & cooperative support | Emergency AfriAgri welfare inclusion support | Capacity building programme enrolment,Critical,7
RESP_00421,36-45,Female,No,Rural,Ethiopia,East Africa,Agri-Finance,Ubuntu Agri Network,Research Institution,5,4,4,3,4,3,4,5,3,4,3,5,4,5,5,4,3,4,4,National,3,3,4,3,1,0,1,0,0,1,3,3,4,3,5,Local partnerships improve sustainability and trust,Introduce AI-supported climate monitoring systems,Improve equitable funding access mechanisms,4.0,3.75,3.25,3.75,High,4.0,3.6,4.4,0.4,1,0,0,3,2,0,0,3.05,High,0,66.66666666666666,54.54545454545454,28.57142857142857,30.0,66.66666666666666,50.52,Agricultural credit & microfinance access | Digital literacy & agri-tech platform access | Land rights advocacy & documentation support | Rural women extension services & cooperative support | Emergency AfriAgri welfare inclusion support | Capacity building programme enrolment,Critical,6
RESP_00422,18-35,Female,No,Rural,Tunisia,Northern Africa,Agri-Finance,Sunrise Food Systems,Farmers Association,4,5,5,3,3,3,5,5,3,5,5,3,4,4,4,4,4,4,3,Continental,4,4,5,4,0,1,0,1,1,0,3,4,5,4,4,Need stronger digital extension systems for women farmers,Scale youth agritech incubation hubs,Strengthen gender-responsive technology access,4.5,4.0,4.25,3.75,Critical,4.5,4.0,4.0,0.5,1,1,0,3,3,1,1,3.25,High,0,100.0,63.63636363636363,14.285714285714292,70.0,100.0,69.27,Agricultural credit & microfinance access | Digital literacy & agri-tech platform access | Land rights advocacy & documentation support | Rural women extension services & cooperative support | Emergency AfriAgri welfare inclusion support | Capacity building programme enrolment,Critical,6
RESP_00423,61+,Female,No,Rural,Tunisia,Northern Africa,Agri-Tech,Grassroots AgriCo,Private Agribusiness,3,5,3,5,3,4,4,5,5,5,5,4,3,4,4,4,4,3,3,Continental,4,3,4,5,1,1,0,0,1,1,4,4,4,4,4,Technology adoption is improving productivity outcomes,Support aggregation and funding of agricultural research,Expand awareness campaigns in rural communities,4.75,4.0,4.0,3.5,Critical,4.75,4.0,4.0,0.75,1,0,0,4,3,1,1,3.4,High,0,66.66666666666666,63.63636363636363,7.142857142857139,60.0,100.0,56.34,Agricultural credit & microfinance access | Digital literacy & agri-tech platform access | Climate-smart agriculture & early warning systems | Land rights advocacy & documentation support | Rural women extension services & cooperative support | Emergency AfriAgri welfare inclusion support | Capacity building programme enrolment,Critical,7
RESP_00424,18-35,Female,No,Rural,DR Congo,Central Africa,Services,AfroHarvest Initiative,NGO,4,4,1,4,5,4,5,4,5,3,4,3,4,5,4,4,4,3,4,Regional,5,3,3,4,1,1,0,0,0,1,2,4,5,5,4,Funding access remains difficult for rural women cooperatives,Create women-focused digital financing systems,Expand awareness campaigns in rural communities,4.25,3.5,3.75,3.75,High,4.25,4.0,4.0,0.25,1,1,0,3,2,0,1,3.1,High,0,100.0,45.45454545454545,21.42857142857143,50.0,66.66666666666666,59.82,Agricultural credit & microfinance access | Climate-smart agriculture & early warning systems | Land rights advocacy & documentation support | Rural women extension services & cooperative support | Emergency AfriAgri welfare inclusion support | Capacity building programme enrolment,Critical,6
RESP_00425,36-45,Female,No,Rural,Cameroon,Central Africa,Services,FarmFirst Alliance,Community Network,4,4,3,3,4,4,5,4,4,3,4,4,4,5,4,4,4,4,4,National,5,3,4,4,1,1,1,1,1,0,4,4,4,3,5,Funding access remains difficult for rural women cooperatives,Support aggregation and funding of agricultural research,Expand awareness campaigns in rural communities,4.0,3.5,4.0,4.0,High,4.0,4.0,4.2,0.0,1,0,0,5,2,0,1,2.95,Moderate,0,66.66666666666666,45.45454545454545,28.57142857142857,60.0,66.66666666666666,52.74,Agricultural credit & microfinance access | Climate-smart agriculture & early warning systems | Land rights advocacy & documentation support | Rural women extension services & cooperative support | Emergency AfriAgri welfare inclusion support | Capacity building programme enrolment,Critical,6
